danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_hit
0.41,0.923,10.0,-5.385,1.0,0.0642,0.0662,0.0,0.322,0.386,110.027,169879.0,0
0.424,0.557,7.0,-10.873,0.0,0.084,0.836,0.746,0.204,0.329,123.421,170322.0,1
0.563,0.966,11.0,-1.006,0.0,0.0584,0.000601,0.712,0.449,0.415,87.508,285257.0,0
0.415,0.963,0.0,-1.939,1.0,0.0806,0.049,0.0,0.194,0.677,127.271,224989.0,0
0.493,0.334,4.0,-14.612,0.0,0.0552,0.0873,0.000628,0.22,0.119,140.145,225522.0,0
0.626,0.226,1.0,-20.297,1.0,0.946,0.475,0.0,0.237,0.327,169.61,184831.0,0
0.7,0.719,0.0,-5.366,0.0,0.0299,0.0544,0.0,0.146,0.554,102.049,257987.0,0
0.434,0.804,0.0,-8.225,1.0,0.0491,0.152,0.943,0.0734,0.284,104.382,216520.0,0
0.588,0.931,6.0,-3.925,1.0,0.0318,0.00411,0.0,0.345,0.625,105.027,219333.0,0
0.757,0.744,1.0,-2.737,0.0,0.0377,0.109,0.0,0.302,0.757,115.969,227093.0,0
0.671,0.924,9.0,-5.215,1.0,0.183,0.304,0.0,0.139,0.873,150.087,313667.0,0
0.655,0.676,5.0,-6.554,1.0,0.039,0.622,0.0,0.127,0.923,143.878,189360.0,0
0.573,0.393,4.0,-10.713,1.0,0.0268,0.789,0.000254,0.602,0.4,80.007,165040.0,0
0.365,0.544,4.0,-5.172,0.0,0.0331,0.774,0.0,0.211,0.433,110.348,227402.0,0
0.326,0.872,2.0,-7.602,1.0,0.122,0.214,0.0,0.461,0.492,173.381,508333.0,1
0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0,0
0.655,0.775,6.0,-4.406,0.0,0.0862,0.0307,0.00112,0.0494,0.637,133.998,237464.0,0
0.719,0.753,10.0,-8.516,1.0,0.0565,0.0198,0.00128,0.125,0.777,171.999,160467.0,0
0.45,0.619,2.0,-3.549,0.0,0.0315,0.00108,0.24,0.0685,0.906,99.763,141293.0,0
